ADDRESS,CITY,ZIPCODE,LONGITUDE,LATITUDE,MODES_SERV,MODE_BUS,MODE_RAIL,MODE_FERRY
Post St at Kearny St,San Francisco,94104,-122.403452,37.788975,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Montgomery St BART Station (Market St at 2nd St),San Francisco,94105,-122.400811,37.7896254,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
San Francisco Ferry Building (Harry Bridges Plaza),San Francisco,94111,-122.394203,37.795392,4,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",Ferry (intercity or transit) service is available
San Francisco Caltrain (Townsend St at 4th St),San Francisco,94107,-122.395282,37.776598,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Embarcadero BART Station (Beale St at Market St),San Francisco,94105,-122.397086,37.792251,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Balboa Park BART Station,San Francisco,94112,-122.4477232,37.720555,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Glen Park BART Station,San Francisco,94131,-122.4341404,37.732813,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
San Jose Diridon Station,San Jose,95110,-121.901782,37.329732,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Spear St at Folsom St,San Francisco,94105,-122.3904285,37.7896767,2,"No bus (transit, intercity, supplemental, or code-share) service available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Mechanics Monument Plaza (Market St at Bush St),San Francisco,94111,-122.399051,37.7913,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
23rd St at Tennessee St,San Francisco,94107,-122.388795,37.755367,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Illinois St at 20th St,San Francisco,94107,-122.3875397,37.760458,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
24th St at Bartlett St,Berkeley,94110,-122.4197236,37.752105,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Carl St at Cole St,San Francisco,94117,-122.4492574,37.76591,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Newhall St at 3rd St,San Francisco,94124,-122.3896178,37.738572,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
McKinnon Ave at 3rd St,San Francisco,94124,-122.3899698,37.736296,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Lane St at Revere Ave,San Francisco,94124,-122.3900557,37.731727,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Quesada Ave at 3rd St,San Francisco,94124,-122.390973,37.733093,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Williams Ave at 3rd St,San Jose,94124,-122.3928961,37.729279,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Carroll St at 3rd St,San Francisco,94124,-122.39402,37.725375,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Randall St at Chenery St,San Francisco,94131,-122.4255225,37.739813,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
China Basin St at 3rd St,San Francisco,94158,-122.3899698,37.772,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Saint James Park,San Jose,95112,-121.889937,37.339301,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Gish Rd at 1st St,San Jose,95112,-121.9093153,37.361867,2,"No bus (transit, intercity, supplemental, or code-share) service available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
San Carlos St at Market St,San Jose,95113,-121.888979,37.330698,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Paseo De San Antonio at 2nd St,San Jose,95113,-121.886943,37.333798,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Parkmoor Ave at Race St,San Jose,95126,-121.9100046,37.316736,3,"Bus (transit, intercity, supplemental, or code-share) service is available","Rail (intercity, heavy, light, or commuter) service is available",No ferry (intercity or transit) service available
Octavia Blvd at Page St,San Francisco,94102,-122.4238086,37.774018,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Kerley Dr at Rosemary St,San Jose,95112,-121.9068342,37.360854,1,"No bus (transit, intercity, supplemental, or code-share) service available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Union Square (Powell St at Post St),San Francisco,94102,-122.4085307,37.7883,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Jones St at Post St,San Francisco,94102,-122.4132782,37.787327,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Golden Gate Ave at Franklin St,San Francisco,94102,-122.4219337,37.780787,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Market St at 10th St,San Francisco,94103,-122.417385,37.776619,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Yerba Buena Center for the Arts (Howard St at 3rd St),San Jose,94103,-122.4008757,37.784872,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
Natoma St at New Montgomery St,San Jose,94105,-122.399607,37.786553,2,"Bus (transit, intercity, supplemental, or code-share) service is available","No rail (intercity, heavy, light, or commuter) service available",No ferry (intercity or transit) service available
